,名称,分类,书号,作者
0,穿梭在都市,都市言情,22140,落魄香烟
1,冷酷总裁柔情心,都市言情,11883,镜月姬
2,庶出格格闹京华,都市言情,11558,阙无忧
3,亡命奴妃,都市言情,11272,双生
4,极道特工之大学风云,都市言情,0961,最强的扯淡
5,绮梦璇玑,都市言情,0620,峨嵋
6,黑道疯子,都市言情,0330,大头
7,都市之王,都市言情,0336,风口独悲
8,刁民在都市,都市言情,0338,辣椒江
9,都市邪才,都市言情,0339,缺月榕树
10,都市法神,都市言情,0341,兰色风车
11,超级校园小霸王,都市言情,0342,失落的无赖
12,星空龙皇,玄幻魔法,6969984,纯洁的云
13,丹武神尊,玄幻魔法,6969670,麻辣水果
14,我杀了法爷,玄幻魔法,6767674,三月一
15,青莲剑说,玄幻魔法,6666959,华表
16,贱客无敌,玄幻魔法,6969476,紫气归来
17,梦醉三国,玄幻魔法,1212105,空心泪
18,太古星辰诀,玄幻魔法,6767359,陆摇
19,回头万里,玄幻魔法,88316,青玉
20,不灭生死印,玄幻魔法,5353513,明月夜色
21,逆天狂徒,玄幻魔法,7070163,雕石
22,古孽,玄幻魔法,6969677,拾月荒年
23,鸿途记,玄幻魔法,1111515,抽刀鱼
24,大公爵传奇,玄幻魔法,2121602,红叶公爵
25,五行吞帝,玄幻魔法,7070472,三枫闲客
26,苍天之神道,玄幻魔法,7070465,悸动星辰
27,金色琴弦,都市言情,33336,楚落纤澜
28,极品小公子,都市言情,33682,烂笔小秀才
29,女学生的男老师,都市言情,33671,朱明东
30,成雄,都市言情,33661,巅峰的神
31,我的王子是恶魔,都市言情,33748,翼·天
32,随身携带异空间,都市言情,33679,掠痕
33,超级土建,都市言情,33707,砖业玩家
34,香港梦,都市言情,33737,烟酒闲人
35,兼职老大,都市言情,33715,独幕剧圣手
36,重生敛财,都市言情,33699,山客氏
37,东方地狱火,都市言情,33732,高森
38,超级智能,都市言情,33783,暮恩
39,当爱靠近时,都市言情,33751,如雪
40,捡到个天使,都市言情,33733,何不干
41,沉沦的校花,都市言情,33764,赵孟
42,重生圣尊,都市言情,33793,逍遥寰宇
43,重生躲美,都市言情,33799,温东篱
44,内线收买人,都市言情,33824,西贝猫
45,我和日文女外教,都市言情,33853,鑫桥
46,超级记忆,都市言情,33850,Vip棋子
47,超级哥哥,都市言情,33889,烟酒闲人
48,谍变,都市言情,33926,黯然**
49,仙规,都市言情,33909,张小二
50,苍穹霸主,都市言情,33876,我主苍穹
51,乐活农庄,都市言情,33869,寒月破空
52,重生之黄金年代,都市言情,33902,财神宁
53,疯狂校园,都市言情,33907,沧海一梦
54,我是混世大神棍,都市言情,33931,武夜
55,超牛特种兵,都市言情,33958,无限星辰
56,家有妖夫,都市言情,33961,晚歌清雅
57,局长沉浮录,都市言情,33355,书生奋发
58,谢琅浪漫记,都市言情,33969,aa4562128
59,蛊灵精怪,都市言情,33362,飞飞语
60,谈情说案,都市言情,33400,欧沙砾
61,恋爱外挂,都市言情,33401,倾覆
62,落难少爷,都市言情,33426,老残
63,我的老婆是重生的,都市言情,33434,养蚕人
64,都市小电工,都市言情,33468,牛魔王
65,超雄,都市言情,33477,木土七小
66,极恶女当家,都市言情,33476,绵绵可爱多
67,终级智能,都市言情,33429,愚昧自在
68,超级软件,都市言情,33439,钓鱼
69,追美攻略,都市言情,33437,天道人盗
70,金牌保镖,都市言情,33500,东航
71,宫怀缱绻,都市言情,33482,一半是天使
72,十六少年兄之暴力摇滚,都市言情,33522,强者
73,辉煌中国,都市言情,33517,向家大哥
74,我的无良小老婆,都市言情,33510,罟寞
75,成为悟空师弟的日子,都市言情,33527,王小蛮
76,重生之新贵,都市言情,33531,包少
77,羽皇,都市言情,33533,永恒炽天使
78,我的女皇上司,都市言情,33535,魅男
79,重生传奇,都市言情,33556,紫箫
80,玄战,都市言情,33590,奇梦潭
81,九五至尊1,都市言情,33619,天策真鸾
82,超级生死簿,都市言情,33606,星之流年
83,神仙眼,都市言情,33563,全市虾蟹
84,至尊小农民,都市言情,33546,幸福的小工人
85,我的老婆是警花2,都市言情,33616,食肉恐龙
86,天娇谱,都市言情,22203,九月阳光
87,六欲人生,都市言情,22195,三帝
88,我的美女老总续集,都市言情,22172,王文亮
89,重生之投资大鳄,都市言情,22146,明日复明日
90,针锋天下,都市言情,22205,桃花老张
91,重生之巨星攻略,都市言情,22213,射手座李不二
92,千王之王,都市言情,22235,夜梦寒
93,脊梁,都市言情,22229,烟草的思绪
94,忘情都市,都市言情,22296,键盘上的烟灰
95,超级模拟,都市言情,22249,成仙的葡萄
96,重生之经济帝国,都市言情,22324,九头怪猫
97,宅男重生,都市言情,22302,云的留痕
98,超级园丁,都市言情,22276,行道迟
99,当黑帮小姐遇到黑帮少爷,都市言情,22306,无情冷月
100,星照不宣,都市言情,22299,蝴蝶蓝
101,重生之网络大亨,都市言情,22353,烈火人龙
102,末世危途,都市言情,22242,醉小星
103,我的老千生涯,都市言情,22348,腾飞
104,济世神针,都市言情,22352,不锈
105,败家子,都市言情,22372,平凡心
106,步步惊心,都市言情,22362,桐华
107,巨能,都市言情,22382,李俞增
108,花都飘香,都市言情,22391,等爱的玫瑰
109,重生之改造命运,都市言情,22388,傻男
110,网中人,都市言情,22400,lilian
111,神武大师兄,玄幻魔法,6363061,好看
112,风月不倾城,都市言情,22403,黑瞳猫咪
113,狂剑风流,都市言情,33624,猎枪
114,创世记,都市言情,22417,云铭
115,苍狼大地,都市言情,22423,苍狼大帝坏坏
116,嗜血的拳头,都市言情,22422,带白痴
117,浪漫情书,都市言情,22392,hou3776330
118,蜀山剑主异世纵横,玄幻魔法,5050627,程易寒
119,猎香神诀,玄幻魔法,5656369,西风肥马
120,踏天狂神,玄幻魔法,5555632,南国殇
121,灵狂,玄幻魔法,6666756,百里潜龙
122,泰坦黎明,玄幻魔法,6767498,懒惰的老胡
123,特工在异世,玄幻魔法,22346,黑夜de白羊
124,天下吾敌,玄幻魔法,1919177,白衣十三
125,天地决,玄幻魔法,0118,心梦无痕
126,天外飞仙,玄幻魔法,1111667,龙鳞
127,听说你要和我斗图,玄幻魔法,6666059,空大的石头
128,屠神灭魔异界行,玄幻魔法,33657,太行翠峰
129,通天圣主,玄幻魔法,6161245,十六邑
130,王者,玄幻魔法,2222384,天过人
131,万藏忍法,玄幻魔法,5959579,瞎练
132,万界第一匪,玄幻魔法,5555896,轩辕老树
133,网游之奥术至高,玄幻魔法,1313046,鬼影行者
134,魔法神帝,玄幻魔法,44472,轻风物语
135,网游之血杀天下,玄幻魔法,2121815,膝盖中剑
136,网游之一鸣惊人,玄幻魔法,2424938,冲气为和
137,魅惑邪恶狼王殿下,玄幻魔法,2020644,紫恋云
138,名门闺杀,玄幻魔法,5656386,面北眉南
139,文圣,玄幻魔法,5151654,夜落影
140,末世铁拳,玄幻魔法,1212060,三个马甲
141,母皇再临,玄幻魔法,1919099,檐下雀
142,紫薇帝星在校园,都市言情,33102,三藏大师
143,换一种方式去爱－清穿,都市言情,33100,官官不是官
144,牛气冲天,玄幻魔法,1212321,会亭
145,问情之秦时明月,玄幻魔法,2626604,嬴思檐
146,寒宫冷月,都市言情,33113,玉清魂
147,路过繁华,都市言情,33096,却却
148,问镜,玄幻魔法,22610,减肥专家
149,我当妖怪的日子,玄幻魔法,88382,九戒
150,轻歌传,都市言情,33117,要唱歌的乌云
151,穷途,都市言情,33138,子缜
152,风倾城之莫西北的江湖,都市言情,33132,月下箫声
153,口水校园,都市言情,33126,零下37度
154,蛇蝎,都市言情,33124,雕栏玉砌
155,至尊学校,都市言情,33157,九人行
156,极品天王1,都市言情,33142,凌空望地
157,我是一只狐狸精,都市言情,33148,樱花红破
158,黑色感情线,都市言情,33173,仇若涵
159,血色人型策,都市言情,33209,泰瑞儿
160,腐女重生,都市言情,33207,天外飞鞋
161,陪君醉笑三千场,都市言情,33202,芷清
162,囧炯后妈,都市言情,33197,柒晓妖
163,和我死去的爱说再见,都市言情,33248,梦夜的天空
164,极品死神男友,都市言情,33217,绯雪
165,三千宠爱在一身,都市言情,33160,飞觞
166,转角撞到神,都市言情,33292,爱打瞌睡的虫
167,我为宅狂,都市言情,33288,乡下文章
168,打造娱乐帝国,都市言情,33279,万乘北宸
169,断翎雪——易钗,都市言情,33252,曲罢
170,全职业天才,都市言情,33262,疯狂小马甲
171,超极癌细胞分身,都市言情,33308,岚精灵
172,都市仙缘,都市言情,33297,清修山人
173,大代表,都市言情,22763,良鸣
174,重生之宠物大师,都市言情,22813,疯狂醉酒
175,妙手医仙,都市言情,22798,炫亦
176,现代极品仙人,都市言情,22759,昨日英豪
177,异化,都市言情,33310,愤怒的香蕉
178,秀女嫁给坏王爷,都市言情,22825,淘小丫
179,龙刺,都市言情,22802,莫罗
180,玲珑变,都市言情,22756,皇澈
181,珠光宝气之绝蜜指令,都市言情,33293,浮生如斯
182,穿越之茶言观色,都市言情,22843,坐酌泠泠水
183,金权,都市言情,22838,hotzery1
184,穿越之逍遥都市,都市言情,22834,花心风流
185,泡个情敌做老婆,都市言情,22836,雪漫天舞
186,妖孽足球,都市言情,22830,没有毛衣的羊
187,倾城纳媚,都市言情,22851,疯夜
188,格式人生,都市言情,22872,格式小德
189,异能之无所不能,都市言情,22876,楼少
190,春风沉醉的晚上,都市言情,22930,满座衣冠胜雪
191,杀手特种兵,都市言情,22929,湛蓝的蓝
192,重生之纵横校园,都市言情,33017,骑着乌龟看朝阳
193,星际神农,都市言情,33031,我要的是冬瓜
194,大香港1957,都市言情,22864,镔铁
195,清宫——宛妃传,都市言情,22989,解语
196,宫杀,都市言情,22938,唐小淮
197,巫在人间,都市言情,33005,疯神狂想
198,一朝选在君王侧,都市言情,33047,纯色
199,青蔷天,都市言情,33068,柳如烟
200,穿越之陌上花,都市言情,33062,孤钵
201,掌控现在,都市言情,22847,醉死赛封王
202,背负阳光,都市言情,33073,满座衣冠胜雪
203,极恶皇后,都市言情,33089,蓝惜月
204,混沌美女图,玄幻魔法,1414971,唐门太子
